PolId,EffDT
5000000633,2023-10-20
5000001281,2023-10-20
5000002598,2023-10-20
5000002938,2023-10-20
5000002989,2023-10-20
5000003187,2023-10-20
5000003268,2023-10-20
5000003381,2023-10-20
5000003756,2023-10-20
5000005805,2023-10-20
5000006712,2023-10-20
5000006720,2023-10-20
5000007875,2023-10-20
5000007883,2023-10-20
5000008731,2023-10-20
5000009029,2023-10-20
5000009851,2023-10-20
5000009878,2023-10-20
5000009959,2023-10-20
5000010019,2023-10-20
5000010272,2023-10-20
5000010523,2023-10-20
5000010671,2023-10-20
5000012135,2023-10-20
5000012259,2023-10-20
5000012631,2023-10-20
5000013077,2023-10-20
5000013298,2023-10-20
5000013328,2023-10-20
5000015010,2023-10-20
5000015339,2023-10-20
5000015371,2023-10-20
5000015762,2023-10-20
5000015789,2023-10-20
5000015860,2023-10-20
5000015983,2023-10-20
5000016521,2023-10-20
5000017293,2023-10-20
5000017633,2023-10-20
5000017692,2023-10-20
5000017951,2023-10-20
5000018290,2023-10-20
5000018338,2023-10-20
5000018621,2023-10-20
5000018931,2023-10-20
5000019016,2023-10-20
5000019792,2023-10-20
5000019806,2023-10-20
5000019830,2023-10-20
5000019997,2023-10-20
5000020090,2023-10-20
5000020278,2023-10-20
5000020588,2023-10-20
5000021185,2023-10-20
5000021223,2023-10-20
5000021290,2023-10-20
5000021967,2023-10-20
5000022033,2023-10-20
5000022050,2023-10-20
5000022122,2023-10-20
5000022190,2023-10-20
5000022203,2023-10-20
5000022297,2023-10-20
5000022300,2023-10-20
5000022319,2023-10-20
5000022688,2023-10-20
5000023226,2023-10-20
5000023528,2023-10-20
5000023803,2023-10-20
5000025008,2023-10-20
5000025075,2023-10-20
5000025580,2023-10-20
5000025733,2023-10-20
5000026233,2023-10-20
5000026586,2023-10-20
5000027205,2023-10-20
5000027272,2023-10-20
5000027809,2023-10-20
5000028120,2023-10-20
5000028333,2023-10-20
5000028511,2023-10-20
5000029321,2023-10-20
5000029739,2023-10-20
5000029763,2023-10-20
5000029976,2023-10-20
5000031156,2023-10-20
5000032063,2023-10-20
5000032500,2023-10-20
5000033183,2023-10-20
5000033523,2023-10-20
5000033566,2023-10-20
5000033825,2023-10-20
5000035208,2023-10-20
5000035232,2023-10-20
5000035259,2023-10-20
5000035852,2023-10-20
5000036115,2023-10-20
5000036379,2023-10-20
5000036581,2023-10-20
5000036638,2023-10-20
5000036670,2023-10-20
5000036832,2023-10-20
5000037189,2023-10-20
5000037502,2023-10-20
5000037570,2023-10-20
5000037758,2023-10-20
5000037790,2023-10-20
5000037863,2023-10-20
5000038231,2023-10-20
5000038576,2023-10-20
5000038835,2023-10-20
5000039033,2023-10-20
5000039050,2023-10-20
5000039289,2023-10-20
5000050673,2023-10-20
5000051106,2023-10-20
5000051351,2023-10-20
5000051386,2023-10-20
5000051530,2023-10-20
5000052200,2023-10-20
5000052269,2023-10-20
5000052552,2023-10-20
5000053230,2023-10-20
5000053532,2023-10-20
5000053672,2023-10-20
5000053869,2023-10-20
5000053982,2023-10-20
5000055225,2023-10-20
5000055373,2023-10-20
5000055381,2023-10-20
5000056353,2023-10-20
5000056620,2023-10-20
5000056701,2023-10-20
5000056710,2023-10-20
5000056752,2023-10-20
5000057767,2023-10-20
5000058356,2023-10-20
5000058780,2023-10-20
5000058887,2023-10-20
5000059000,2023-10-20
5000059018,2023-10-20
5000059166,2023-10-20
5000059620,2023-10-20
5000060083,2023-10-20
5000060261,2023-10-20
5000060970,2023-10-20
5000061233,2023-10-20
5000061250,2023-10-20
5000061268,2023-10-20
5000061799,2023-10-20
5000062086,2023-10-20
5000062523,2023-10-20
5000062663,2023-10-20
5000062850,2023-10-20
5000063066,2023-10-20
5000063333,2023-10-20
5000063368,2023-10-20
5000063619,2023-10-20
5000063937,2023-10-20
5000065131,2023-10-20
5000065379,2023-10-20
5000065638,2023-10-20
5000065662,2023-10-20
5000066073,2023-10-20
5000066189,2023-10-20
5000066359,2023-10-20
5000066570,2023-10-20
5000067002,2023-10-20
5000067207,2023-10-20
5000067851,2023-10-20
5000068068,2023-10-20
5000068181,2023-10-20
5000068912,2023-10-20
5000068963,2023-10-20
5000069218,2023-10-20
5000069536,2023-10-20
5000069838,2023-10-20
5000069919,2023-10-20
5000070100,2023-10-20
5000070267,2023-10-20
5000070666,2023-10-20
5000070810,2023-10-20
5000070836,2023-10-20
5000070879,2023-10-20
5000071395,2023-10-20
5000071506,2023-10-20
5000072189,2023-10-20
5000072600,2023-10-20
5000073126,2023-10-20
5000073622,2023-10-20
5000075013,2023-10-20
5000075030,2023-10-20
5000075773,2023-10-20
5000075897,2023-10-20
5000076230,2023-10-20
5000076800,2023-10-20
5000077059,2023-10-20
5000077113,2023-10-20
5000077520,2023-10-20
5000077725,2023-10-20
5000078063,2023-10-20
5000078080,2023-10-20
5000078365,2023-10-20
5000078861,2023-10-20
5000078870,2023-10-20
5000078950,2023-10-20
5000079272,2023-10-20
5000079302,2023-10-20
5000079329,2023-10-20
5000079582,2023-10-20
5000079680,2023-10-20
5000079779,2023-10-20
5000079973,2023-10-20
5000079981,2023-10-20
5000080092,2023-10-20
5000080882,2023-10-20
5000081005,2023-10-20
5000081030,2023-10-20
